Station,Order,Borough,Entrances,Primary Line,Express,Lines
Pelham Bay Park,0,BRONX,Westchester Ave and Bruckner Blvd,6,False,"6,"
Buhre Av,1,BRONX,Edison Ave and Westchester Ave,6,False,"6,"
Middletown Rd,2,BRONX,Westchester Ave and Middletown Rd,6,False,"6,"
Westchester Sq East Tremont Av,3,BRONX,Westchester Ave and Ferris Pl,6,False,"6,"
Zerega Av,4,BRONX,Zerega Ave and Westchester Ave,6,False,"6,"
Castle Hill Av,5,BRONX,Castle Hill Ave and Westchester Ave,6,False,"6,"
Parkchester,6,BRONX,Center of Hugh Grant Circle at Westchester Ave and Metropolitan Ave,6,True,"6,6 Express,"
St Lawrence Av,7,BRONX,St Lawrence Ave and Westchester Ave,6,False,"6,"
Morrison Av Soundview,8,BRONX,Morrison Ave and Westchester Ave,6,False,"6,"
Elder Av,9,BRONX,Elder Ave and Westchester Ave,6,False,"6,"
Whitlock Av,10,BRONX,Whitlock Ave and Westchester Ave,6,False,"6,"
Hunts Point Av,11,BRONX,Hunts Points Ave and Southern Blvd,6,True,"6,6 Express,"
Longwood Av,12,BRONX,Longwood Ave and Southern Blvd,6,False,"6,"
E 149 St,13,BRONX,E 149 St and Southern Blvd,6,False,"6,"
E 143 St-Mary's St,14,BRONX,E 143 St and Southern Blvd,6,False,"6,"
Cypress Av,15,BRONX,E 138 St between Cypress Ave and Jackson Ave,6,False,"6,"
Brook Av,16,BRONX,E 138 St and Brook Ave,6,False,"6,"
3 Av 138 St,17,BRONX,E 138 St and 3rd Ave,6,True,"6,6 Express,"
125 St,18,MANHATTAN,E 125 St and Lexington Ave,6,True,"6,6 Express,4"
116 St,19,MANHATTAN,E 116 St and Lexington Ave,6,False,"6,"
110 St,20,MANHATTAN,E 110 St and Lexington Ave,6,False,"6,"
103 St,21,MANHATTAN,E 103 St and Lexington Ave,6,False,"6,"
96 St,22,MANHATTAN,E 96 St and Lexington Ave,6,False,"6,"
86 St,23,MANHATTAN,E 86 St and Lexington Ave,6,True,"6,6 Express,4"
77 St,24,MANHATTAN,E 77 St and Lexington Ave,6,False,"6,"
68 St Hunter College,25,MANHATTAN,E 68 St and Lexington Ave,6,False,"6,"
59 St,26,MANHATTAN,E 60 St and Lexington Ave,6,True,"6,6 Express,4"
Lexington Ave/ 53 St,27,MANHATTAN,E 51 St and Lexington Ave,6,False,"6,E"
Grand Central 42 St,28,MANHATTAN,Park Ave and E 42 St,6,True,"6,6 Express,4,7"
33 St,29,MANHATTAN,E 32 St and Park Ave S,6,False,"6,"
28 St,30,MANHATTAN,E 28 St and Park Ave South,6,False,"6,"
23 St,31,MANHATTAN,E 22 St and Park Ave South,6,False,"6,"
14 St-Union Sq,32,MANHATTAN,E 15 St and Union Square East,6,True,"6,6 Express,4"
Astor Pl,33,MANHATTAN,E 8 St and 4th Ave,6,False,"6,"
Bleecker St,34,MANHATTAN,Houston St and Lafayette St,6,False,"6,B,D,F"
Spring St,35,MANHATTAN,Spring St and Cleveland Place,6,False,"6,"
Canal St,36,MANHATTAN,Canal St and Lafayette St,6,False,"6,"
Brooklyn Bridge City Hall,37,MANHATTAN,Centre St between Chambers St and Brooklyn Bridge Promenade,6,True,"6,6 Express,4"
