Station,Entrances,Primary Line,Lines,Borough
W 4 St Wash Sq,W 3 St and 6th Ave,F,"F,F Express,B,D,C,E",MANHATTAN
Bleecker St,Broadway and Houston St,F,"F,F Express,B,D,6",MANHATTAN
2 Av,Houston St and 2nd Ave,F,"F,",MANHATTAN
Delancey St,Delancey St and Essex St,F,"F,",MANHATTAN
East Broadway,Canal St and Essex St,F,"F,",MANHATTAN
York St,York St and Jay St,F,"F,",BROOKLYN
Jay St-MetroTech,Willoughby St and Jay St,F,"F,F Express,C",BROOKLYN
Bergen St,Bergen St and Smith St,F,"F,",BROOKLYN
Carroll St,President St and Smith St,F,"F,",BROOKLYN
Smith 9 Sts,Smith St and 9 St,F,"F,",BROOKLYN
4 Av,4th Ave and 10 St,F,"F,",BROOKLYN
7 Av,7th Ave and 9 St,F,"F,F Express,",BROOKLYN
15 St Prospect Park,Bartel-Pritchard Sq,F,"F,",BROOKLYN
Fort Hamilton Pkwy,Greenwood Ave and Prospect Ave,F,"F,",BROOKLYN
Church Av,Albemarle Rd and McDonald Ave,F,"F,F Express,",BROOKLYN
Ditmas Av,McDonald Ave and Ditmas Ave,F,"F,",BROOKLYN
18 Av,18th Ave and McDonald Ave,F,"F,",BROOKLYN
Avenue I,Ave I and McDonald Ave,F,"F,",BROOKLYN
Bay Pkwy,McDonald Ave and Bay Pkwy,F,"F,",BROOKLYN
Avenue N,Ave N and McDonald Ave,F,"F,",BROOKLYN
Avenue P,Ave P and McDonald Ave,F,"F,",BROOKLYN
Kings Hwy,McDonald Ave and Kings Highway,F,"F,F Express,",BROOKLYN
Avenue U,Ave U and McDonald Ave,F,"F,",BROOKLYN
Avenue X,86 St and Ave X,F,"F,",BROOKLYN
Neptune Av,W 6 St and Neptune Ave,F,"F,",BROOKLYN
West 8 St NY Aquarium,W 8 St north of Surf Ave,F,"F,",BROOKLYN
Coney Island Stillwell Av,Mermaid Ave east of Stillwell Ave,F,"F,D",BROOKLYN
