station_name,borough,entrance,lines
Middle Village - Metropolitan Av,,,M
Fresh Pond Rd,Queens,67th Avenue,M
Forest Av,Queens,1926 Madison Street,M
Seneca Av,Queens,702 Seneca Ave,M
Myrtle - Wyckoff Avs,Brooklyn,282 Wyckoff Ave,"L,M"
Knickerbocker Av,Brooklyn,1398 Myrtle Avenue,M
Central Av,Brooklyn,1252 Myrtle Ave,M
Myrtle Av,Brooklyn,935 Broadway,"J,M,Z"
