station_name,borough,entrance,lines
Wakefield - 241 St,The Bronx,4647 White Plains Rd,"2,5"
Nereid Av,The Bronx,4398 White Plains Road,"2,5"
233 St,The Bronx,4194 White Plains Road,"2,5"
225 St,The Bronx,3978 White Plains Rd,"2,5"
219 St,The Bronx,3811 White Plains Rd,"2,5"
Gun Hill Rd,The Bronx,Duncomb Avenue,"2,5"
Burke Av,The Bronx,700 Burke Ave,"2,5"
Allerton Av,The Bronx,699 Allerton Ave,"2,5"
Pelham Pkwy,,,"2,5"
Bronx Park East,The Bronx,Birchall Avenue,"2,5"
E 180th,,,tree
West Farms Sq - E Tremont Av,The Bronx,1055 E Tremont Ave,"2,5"
East 174 Street Station Subway,The Bronx,920 E 174 St,2)/(5
Freeman St,The Bronx,Freeman Street,"2,5"
Simpson St,The Bronx,1027 Westchester Ave,"2,5"
Intervale Av,The Bronx,941 Westchester Ave,"2,5"
Prospect Av,The Bronx,839 Westchester Ave,"2,5"
Jackson Av,,,"2,5"
3 Av - 149 St,The Bronx,399 E 149 St,"2,5"
149 St - Grand Concourse,The Bronx,500 Grand Conc,"2,4,5"
135 St,Manhattan,515 Malcolm X Blvd,"2,3"
125 St,Manhattan,86 W 125 St,"2,3"
116 St,Manhattan,West 116th Street,"2,3"
Central Park North (110 St),Manhattan,20 Malcolm X Boulevard,"2,3"
96 St,Manhattan,250 West 95th Street,"1,2,3"
72 St,Manhattan,2073 Broadway,"1,2,3"
Times Sq - 42 St,Manhattan,7 West 42nd Street,"N,Q,R,S,1,2,3,7,7x"
34 St - Penn Station,Manhattan,421 7th Avenue,"1,2,3"
14 St,Manhattan,37 7th Avenue,"1,2,3"
Chambers St,Manhattan,Chambers Street,"1,2,3"
Park Place Station,Manhattan,110 Church Street,"2,3"
Fulton St,Manhattan,139 Fulton St,"A,C,N,R,W,J,Z,2,3,4,5"
Wall St,Manhattan,52 William Street,"2,3"
Clark St,Brooklyn,80 Clark Street,"2,3"
Borough Hall,Brooklyn,Joralemon Street,"2,3,4,5,N,R,W"
Hoyt St,Brooklyn,464 Fulton St,"2,3"
Nevins St,Brooklyn,1 Flatbush Avenue,"2,3,4,5"
Atlantic Av - Barclays Ctr,Brooklyn,590 Atlantic Ave,"B,D,N,Q,R,2,3,4,5"
Bergen St,Brooklyn,243 Flatbush Avenue,"2,3,4"
Grand Army Plaza,Brooklyn,10 Plaza St E,"2,3,4"
Eastern Pkwy - Brooklyn Museum,Brooklyn,135 Eastern Pkwy,"2,3,4"
Franklin Av,Brooklyn,806 Franklin Avenue,"S,2,3,4,5"
Nostrand Av,Brooklyn,540 Eastern Pkwy,"2,3,4,5"
Kingston Av,Brooklyn,291 Kingston Ave,"2,3,4,5"
Crown Hts - Utica Av,Brooklyn,1074 Eastern Pkwy,"2,3,4,5"
Sutter Av - Rutland Rd,Brooklyn,80 E 98 St,"2,3,4,5"
Saratoga Av,Brooklyn,297 Legion Street,"2,3,4,5"
Rockaway Av,Brooklyn,710 Rockaway Ave,"2,3,4,5"
Junius St,,,"2,3,4,5"
Pennsylvania Av,Brooklyn,602 Livonia Ave,"2,3,4,5"
Van Siclen Av,Brooklyn,745 Livonia Ave,"2,3,4,5"
New Lots Av,Brooklyn,889 Livonia Avenue,"2,3,4,5"
